"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@iam_toral absolutely I did nodded to it , remember ? And it does make sense awaiting sequel #Bahubali",FALSE,0,"iam_toral",2015-07-28 19:54:40,FALSE,"625666292402552836","626118594967908353","3365941923","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeonOdedra",0,FALSE,FALSE,NA,NA
"2","#Bahubali what a disappointment! All hype and no substance!",FALSE,1,NA,2015-07-28 19:53:47,FALSE,NA,"626118372481085440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Asthatiw",0,FALSE,FALSE,NA,NA
"3","The biggest question bothering the whole of India at present... 

"" Why the hell did Katappa kill Bahubali ??? ""

#Bahubali  #FinallyWatched",FALSE,0,NA,2015-07-28 19:47:12,FALSE,NA,"626116714267299840",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","artistdephani",0,FALSE,FALSE,NA,NA
"4","The physics-law-defying movie #Bahubali is so freaking hilarious.
I rolled on floor laughing.
#Bahubalistorm",FALSE,1,NA,2015-07-28 19:37:18,FALSE,NA,"626114224360587264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","doordhwani",1,FALSE,FALSE,NA,NA
"5","Check out: #Bahubali Prabhas meets #Singham ajaydevgn in Delhi
http://t.co/NJRNZhb0b4 http://t.co/pDfdcVKJtL",FALSE,0,NA,2015-07-28 19:36:44,FALSE,NA,"626114082991640576",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","BollywoodFansLK",0,FALSE,FALSE,NA,NA
"6","@Bollyhungama @ajaydevgn  #Bahubali team goes everywhere to promot their movie guys enough khlas...",FALSE,3,"Bollyhungama",2015-07-28 19:32:26,FALSE,"626112409657184256","626113001246986240","41549052","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SKPlace_Team",2,FALSE,FALSE,NA,NA
"7","Check out: #Bahubali Prabhas meets #Singham @ajaydevgn in Delhi
http://t.co/GWTfIdrO3p http://t.co/qjSKQLZmvJ",FALSE,22,NA,2015-07-28 19:30:05,FALSE,NA,"626112409657184256",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","Bollyhungama",11,FALSE,FALSE,NA,NA
"8","After #Prabhas ignored @ArvindKejriwal &amp; didn't request him 2 watch #Bahubali
AAP IT team got RawFootage of film &amp; .. http://t.co/UzbB0qAyta",FALSE,1,NA,2015-07-28 19:12:28,FALSE,NA,"626107975686447104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","piyushkaul",2,FALSE,FALSE,NA,NA
"9","Saw the movie #Bahubali.It has excelled any Hollywood movie in graphics and technology
साच्चै नै दामी रच #Bahubali http://t.co/rfJ9bOUpC5",FALSE,1,NA,2015-07-28 18:56:42,FALSE,NA,"626104005760937984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Incompletely23",0,FALSE,FALSE,NA,NA
"10","Asli hero toh #Bahubali main that yeah Bollywood heroes are zeroes in real life https://t.co/NOUUq7iNKc",FALSE,0,NA,2015-07-28 18:50:05,FALSE,NA,"626102340689510400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MistryMania",0,FALSE,FALSE,NA,NA
